,Origin,Destination
2633,Delaware,Philadelphia
2636,Delaware,Philadelphia
2639,Philadelphia,Philadelphia
2640,Philadelphia,Philadelphia
2641,Philadelphia,Philadelphia
2642,Philadelphia,Philadelphia
2643,Philadelphia,Philadelphia
2646,Philadelphia,Philadelphia
2648,Philadelphia,Maryland
2649,Scotland,Philadelphia
2651,Delaware,Philadelphia
2654,Delaware,Maine
2655,Maine,Philadelphia
2659,Delaware,Maine
2660,Delaware,Philadelphia
2662,Philadelphia,Maine
2666,Philadelphia,Maine
2669,Delaware,Maine
2672,Maine,Philadelphia
2678,Delaware,Maine
2681,Rhode Island,New Hampshire
2684,Philadelphia,Maine
2686,Delaware,Philadelphia
2691,Delaware,Philadelphia
2695,Delaware,Philadelphia
2697,Delaware,Philadelphia
2698,New Jersey,Philadelphia
2699,Philadelphia,Philadelphia
2700,Philadelphia,Philadelphia
2701,Philadelphia,Philadelphia
2703,Philadelphia,Susquehanna County
2704,Maryland,Louisiana
2709,New York (State),Rhode Island
2719,New Hampshire,Pennsylvania
